Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_34_segment_Lt Occipital Inf	1: RTSTRUCT: ANON_34_segment_Rt Parietal	1: RTSTRUCT: ANON_34_segment_Lt Para median	1: RTSTRUCT: ANON_34_segment_Lt Frontal Cavity	1: RTSTRUCT: ANON_34_segment_L superior parietal	1: RTSTRUCT: ANON_34_segment_L occipital1	1: RTSTRUCT: ANON_34_segment_L occipital2	1: RTSTRUCT: ANON_34_segment_L occipital3
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2	c78e5d80f4c8b8c256ca6d0008ddeb807b08dbc2
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)
diagnostics	Image-original	Size	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)
diagnostics	Image-original	Mean	105.95142364501953	105.95142364501953	105.95142364501953	105.95142364501953	105.95142364501953	105.95142364501953	105.95142364501953	105.95142364501953
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1792.0	1792.0	1792.0	1792.0	1792.0	1792.0	1792.0	1792.0
diagnostics	Mask-original	Hash	54d87953acbf3649875d07afc5c5a03c56725fd6	fdc5acb5c9fc6f0ecb56712ff18782e8143d808d	4d968b3083ad7cd631cf5a2d60f64eef335abbb2	c203d52eac58413d6a5df1de397a238c8232c7e6	2a019fd1e58336eeb7d48bc490a754dea0a9c79c	75c4f32196c548032c7cd8fd58a77c4ba410ae0f	5b34847f1e477ecf0368469bcd276b7145b9d4c3	a5b8b52f9df89ac6e5322fcfd28c8ca42e8fdad8
diagnostics	Mask-original	Spacing	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)	(1.0, 1.0, 1.393162393162393)
diagnostics	Mask-original	Size	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)	(256, 256, 118)
diagnostics	Mask-original	BoundingBox	(157, 213, 10, 8, 7, 3)	(93, 151, 46, 7, 7, 3)	(135, 171, 54, 8, 7, 6)	(154, 128, 51, 28, 35, 32)	(132, 185, 78, 3, 4, 3)	(169, 202, 29, 3, 4, 5)	(165, 221, 29, 2, 3, 2)	(171, 219, 27, 3, 3, 2)
diagnostics	Mask-original	VoxelNum	64	78	111	11260	10	26	12	10
diagnostics	Mask-original	VolumeNum	1	1	1	1	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(160.234375, 215.828125, 11.140625)	(95.62820512820512, 153.8846153846154, 46.84615384615385)	(138.63963963963963, 174.07207207207207, 56.42342342342342)	(167.37673179396091, 147.28650088809945, 66.91243339253997)	(132.8, 186.4, 78.6)	(170.07692307692307, 203.53846153846155, 30.884615384615383)	(165.5, 222.0, 29.5)	(171.7, 219.9, 27.7)
diagnostics	Mask-original	CenterOfMass	(32.23437501801695, 38.659141533915374, -77.28430191956019)	(-32.371794866482716, -23.2843680682183, -27.540701903123633)	(10.639639649092288, -3.096911389583397, -14.198010098893377)	(39.376731797919774, -29.882482579450084, 0.4148841315852252)	(4.800000011981183, 9.231016539542253, 16.697562396679118)	(42.07692309241938, 26.369478070358184, -49.777717024754146)	(37.50000001928282, 44.83101653283538, -51.70671110759438)	(43.70000001885211, 42.73101653156377, -54.21440341528669)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(20, 19, 16)	(19, 19, 16)	(20, 19, 20)	(40, 47, 56)	(15, 16, 17)	(15, 16, 19)	(14, 15, 15)	(15, 15, 15)
diagnostics	Image-interpolated	Mean	117.1098694933693	149.14857651423898	135.23497065430553	161.54013104453648	109.32208665416252	144.0566274318414	102.90294320785064	93.25796222508154
diagnostics	Image-interpolated	Minimum	-92.39666317849573	-40.19586354375048	-49.9660487248343	-62.13455688460925	-22.40693164843944	-10.990352956191911	-51.225178341005	-57.844137394319105
diagnostics	Image-interpolated	Maximum	340.9653680059025	245.76537246925895	307.53765752261756	331.70286721772294	317.8270196474625	300.0613916473687	329.9957869247074	329.9957869247073
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(20, 19, 16)	(19, 19, 16)	(20, 19, 20)	(40, 47, 56)	(15, 16, 17)	(15, 16, 19)	(14, 15, 15)	(15, 15, 15)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 8, 7, 4)	(6, 6, 6, 7, 7, 4)	(6, 6, 6, 8, 7, 9)	(6, 6, 6, 28, 35, 45)	(6, 6, 7, 3, 4, 4)	(6, 6, 6, 3, 4, 7)	(6, 6, 6, 2, 3, 3)	(6, 6, 7, 3, 3, 2)
diagnostics	Mask-interpolated	VoxelNum	111	120	166	15710	12	42	18	10
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	1	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.252252252252251, 8.864864864864865, 7.621621621621622)	(8.691666666666666, 8.933333333333334, 7.35)	(9.69277108433735, 9.144578313253012, 9.885542168674698)	(19.37402928071292, 25.289369828134944, 28.39579885423297)	(6.75, 7.416666666666667, 8.0)	(7.095238095238095, 7.523809523809524, 9.071428571428571)	(6.5, 7.0, 7.0)	(6.7, 6.9, 7.7)
