Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_4_segment_Rt Parietal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	71f597be54acae4453a8015449201890eaa7f124
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.9722222089767502, 0.9722222089767502, 1.0298507462686703)
diagnostics	Image-original	Size	(288, 288, 202)
diagnostics	Image-original	Mean	51.01481836009122
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1498.0
diagnostics	Mask-original	Hash	ac6b0a060a1a5a644e68a80df87d948dc499e001
diagnostics	Mask-original	Spacing	(0.9722222089767502, 0.9722222089767502, 1.0298507462686703)
diagnostics	Mask-original	Size	(288, 288, 202)
diagnostics	Mask-original	BoundingBox	(95, 172, 136, 9, 9, 10)
diagnostics	Mask-original	VoxelNum	393
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(98.70992366412214, 175.33587786259542, 140.37659033078882)
diagnostics	Mask-original	CenterOfMass	(-39.35090828985325, 13.19403340901576, 58.29686173290055)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(21, 21, 22)
diagnostics	Image-interpolated	Mean	141.56343267247252
diagnostics	Image-interpolated	Minimum	-4.158253166498602
diagnostics	Image-interpolated	Maximum	321.79942100500887
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(21, 21, 22)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 9, 9, 10)
diagnostics	Mask-interpolated	VoxelNum	393
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.709923664122137, 9.335877862595419, 10.376590330788805)
diagnostics	Mask-interpolated	CenterOfMass	(-39.59569484845895, 13.101041820351004, 58.08107199190715)
diagnostics	Mask-interpolated	Mean	234.93821179731322
diagnostics	Mask-interpolated	Minimum	129.71028257729094
diagnostics	Mask-interpolated	Maximum	321.79942100500887
original	shape	Elongation	0.8953235251309138
original	shape	Flatness	0.8276540043675582
original	shape	LeastAxisLength	7.5190080608456835
original	shape	MajorAxisLength	9.08472383528337
original	shape	Maximum2DDiameterColumn	10.44030650891055
original	shape	Maximum2DDiameterRow	10.770329614269007
original	shape	Maximum2DDiameterSlice	9.848857801796104
original	shape	Maximum3DDiameter	11.0
original	shape	MeshVolume	381.5833333333333
original	shape	MinorAxisLength	8.133766969046743
