Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_25_segment_Lt Insula
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	e1000d43ab88666fb03f9a61d071d040242b4d59
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.0156250000000002, 1.015625, 1.2473684210526437)
diagnostics	Image-original	Size	(256, 256, 191)
diagnostics	Image-original	Mean	64.4991118745654
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1357.0
diagnostics	Mask-original	Hash	defe50f9640eb2170d4eaa6c1f950107659c3e8f
diagnostics	Mask-original	Spacing	(1.0156250000000002, 1.015625, 1.2473684210526437)
diagnostics	Mask-original	Size	(256, 256, 191)
diagnostics	Mask-original	BoundingBox	(157, 108, 116, 8, 8, 8)
diagnostics	Mask-original	VoxelNum	194
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(160.63917525773195, 111.48969072164948, 118.52577319587628)
diagnostics	Mask-original	CenterOfMass	(31.408969533192007, -13.300846380384627, 9.12776911374604)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(21, 20, 22)
diagnostics	Image-interpolated	Mean	92.35260238623137
diagnostics	Image-interpolated	Minimum	-27.560052921034686
diagnostics	Image-interpolated	Maximum	224.7116069968139
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(21, 20, 22)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 9, 8, 10)
diagnostics	Mask-interpolated	VoxelNum	283
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(10.109540636042404, 9.519434628975265, 9.06713780918728)
diagnostics	Mask-interpolated	CenterOfMass	(31.352265857940942, -13.066899853197354, 9.307444837606482)
diagnostics	Mask-interpolated	Mean	113.44888582219272
diagnostics	Mask-interpolated	Minimum	74.31528620941921
diagnostics	Mask-interpolated	Maximum	171.94823573464765
original	shape	Elongation	0.8059024632309085
original	shape	Flatness	0.7760579168164788
original	shape	LeastAxisLength	6.688032041415452
original	shape	MajorAxisLength	8.617954789831785
original	shape	Maximum2DDiameterColumn	10.44030650891055
original	shape	Maximum2DDiameterRow	10.198039027185569
original	shape	Maximum2DDiameterSlice	9.486832980505138
original	shape	Maximum3DDiameter	10.44030650891055
original	shape	MeshVolume	273.0833333333333
original	shape	MinorAxisLength	6.9452309931380425
