Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_46_segment_Pontine 11302018
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	6a8cf25e1878db1c52856daedfdff69597eefe13
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.0156249999999998, 1.015625, 0.9999999999999958)
diagnostics	Image-original	Size	(256, 256, 208)
diagnostics	Image-original	Mean	64.9949481670673
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1808.0
diagnostics	Mask-original	Hash	0103ada07b857465b5e6da73dfee8b08b267e79c
diagnostics	Mask-original	Spacing	(1.0156249999999998, 1.015625, 0.9999999999999958)
diagnostics	Mask-original	Size	(256, 256, 208)
diagnostics	Mask-original	BoundingBox	(121, 135, 86, 4, 3, 4)
diagnostics	Mask-original	VoxelNum	35
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(122.62857142857143, 136.05714285714285, 87.45714285714286)
diagnostics	Mask-original	CenterOfMass	(-5.715091219087441, 16.10437132816604, -32.774162550909786)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(16, 15, 16)
diagnostics	Image-interpolated	Mean	84.14411065175244
diagnostics	Image-interpolated	Minimum	-36.6375831077554
diagnostics	Image-interpolated	Maximum	303.10175034313966
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(16, 15, 16)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 4, 3, 4)
diagnostics	Mask-interpolated	VoxelNum	35
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.628571428571429, 7.057142857142857, 7.457142857142857)
diagnostics	Mask-interpolated	CenterOfMass	(-5.646136113105785, 15.966850508592229, -32.77216345080659)
diagnostics	Mask-interpolated	Mean	102.80636147761246
diagnostics	Mask-interpolated	Minimum	68.81166768780595
diagnostics	Mask-interpolated	Maximum	124.9706656914129
original	shape	Elongation	0.9239243455099705
original	shape	Flatness	0.7630219257127957
original	shape	LeastAxisLength	3.0786164756820074
original	shape	MajorAxisLength	4.034768034753447
original	shape	Maximum2DDiameterColumn	4.47213595499958
original	shape	Maximum2DDiameterRow	4.47213595499958
original	shape	Maximum2DDiameterSlice	4.47213595499958
original	shape	Maximum3DDiameter	4.58257569495584
original	shape	MeshVolume	31.166666666666668
original	shape	MinorAxisLength	3.727820415794129
