Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_49_segment_Lt Frontal	1: RTSTRUCT: ANON_49_segment_Left Ventricle	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal 2	1: RTSTRUCT: ANON_49_segment_Lt inf Frontal	1: RTSTRUCT: ANON_49_segment_Lt Hippocampal	1: RTSTRUCT: ANON_49_segment_Rt Sup Cerebellar	1: RTSTRUCT: ANON_49_segment_Lt lat Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6	8c3665cef2c5fa09ad857d5ded3036563d6a09d6
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)
diagnostics	Image-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Image-original	Mean	51.80919946034749	51.80919946034749	51.80919946034749	51.80919946034749	51.80919946034749	51.80919946034749	51.80919946034749	51.80919946034749
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1385.0	1385.0	1385.0	1385.0	1385.0	1385.0	1385.0	1385.0
diagnostics	Mask-original	Hash	5157764662acea1cd8db6fad3f2ae91d0b49a83b	7184e9cf504e6c4073796b1ee942a0415ba39dee	1ded43af43108f3cc05755b4acacc9eeccfd5575	b108cd67672f1b52a3691e4acff1984cc5a1ccc8	f84147942b609d1b0bc01673c6e4aba2941f0fa2	2916e3958da2aeec204f681e06fcff003a959ae3	b5aa465f81a0048486f1f22753158b5e15e8cdf6	49a4a508bf106fc1ffba6387fa8ec663fd390298
diagnostics	Mask-original	Spacing	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)	(1.0156250000000002, 1.0156250000000004, 0.9999999999999997)
diagnostics	Mask-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Mask-original	BoundingBox	(147, 154, 158, 23, 23, 28)	(137, 102, 148, 11, 12, 12)	(121, 185, 147, 5, 4, 5)	(116, 195, 139, 8, 9, 10)	(106, 99, 131, 7, 6, 6)	(105, 142, 108, 17, 17, 15)	(110, 180, 83, 6, 5, 5)	(161, 110, 150, 3, 2, 2)
diagnostics	Mask-original	VoxelNum	5547	712	50	293	120	1391	70	6
diagnostics	Mask-original	VolumeNum	1	1	1	1	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(157.36848747070488, 165.98593834505138, 171.24373535244277)	(142.60955056179776, 106.82865168539325, 153.82584269662922)	(122.52, 186.5, 148.8)	(119.23549488054607, 199.1877133105802, 143.49488054607508)	(109.48333333333333, 101.19166666666666, 133.75833333333333)	(113.38030194104961, 149.7958303378864, 114.9683680805176)	(112.14285714285714, 182.0857142857143, 84.97142857142858)	(162.0, 110.5, 150.5)
diagnostics	Mask-original	CenterOfMass	(18.409981239284917, 47.092767146332676, 7.368634866437219)	(4.615827843374433, -13.841888769739086, -7.9466994963372315)	(-15.406878757020593, 66.64804084938359, -18.408814772268386)	(-18.38135277409566, 79.2383832366562, -24.569637944156426)	(-27.61427320787672, -20.686370199597917, -29.895758316472495)	(-22.41169838177713, 27.67867834592235, -50.85400508155659)	(-21.664495149217885, 58.91233559181944, -82.48895042955616)	(24.487256937803437, -10.219389073388967, -10.137436698074993)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(36, 36, 40)	(23, 24, 24)	(17, 16, 17)	(20, 21, 22)	(19, 18, 18)	(29, 29, 27)	(18, 17, 17)	(15, 14, 14)
diagnostics	Image-interpolated	Mean	136.26774716148998	36.926785675659964	148.29988849861002	183.89551367629034	36.49448804772065	96.14329540624865	110.7896111146269	34.54594214693963
diagnostics	Image-interpolated	Minimum	-38.890016384596954	-46.135040698084595	42.578014896897606	42.62903449091011	-39.429615252227414	-39.428969697479516	-40.1461097999882	-15.84110149900795
diagnostics	Image-interpolated	Maximum	321.3576302859573	124.6861814703822	257.6903130376626	310.28196120056026	183.07997512432755	294.25432282388635	317.951031855765	75.6277414434348
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(36, 36, 40)	(23, 24, 24)	(17, 16, 17)	(20, 21, 22)	(19, 18, 18)	(29, 29, 27)	(18, 17, 17)	(15, 14, 14)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 24, 24, 28)	(6, 6, 6, 11, 12, 12)	(6, 6, 6, 5, 4, 5)	(6, 6, 6, 8, 9, 10)	(6, 6, 6, 7, 6, 6)	(6, 6, 6, 17, 17, 15)	(6, 6, 6, 6, 5, 5)	(6, 6, 6, 3, 2, 2)
diagnostics	Mask-interpolated	VoxelNum	6080	712	50	293	120	1391	70	6
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	1	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(16.794078947368423, 18.65970394736842, 19.10855263157895)	(11.609550561797754, 10.82865168539326, 11.825842696629213)	(7.52, 7.5, 7.8)	(9.235494880546074, 10.187713310580206, 10.494880546075086)	(9.483333333333333, 8.191666666666666, 8.758333333333333)	(14.380301941049604, 13.795830337886413, 12.968368080517614)	(8.142857142857142, 8.085714285714285, 7.9714285714285715)	(7.0, 6.5, 6.5)
diagnostics	Mask-interpolated	CenterOfMass	(18.377987602726908, 47.1581332490681, 7.227522778683639)	(4.380267067081611, -13.52010969495448, -7.978773048872897)	(-15.329239606760705, 66.72632844236801, -18.407583548135705)	(-18.252507562333655, 79.11885251978296, -24.55495589753972)	(-27.333389936666258, -20.27487878460353, -29.89780254401444)	(-22.191569594884456, 27.331497045215933, -50.82167763045781)	(-21.425074361714575, 59.060055394998244, -82.48040617255748)	(24.947167566818493, -9.952548342730411, -10.12016657034626)
diagnostics	Mask-interpolated	Mean	214.5164753641808	81.48824665605483	221.9143570814419	256.6827734768712	70.29555947346127	134.48215387959877	174.06320750374977	65.47933985379174
diagnostics	Mask-interpolated	Minimum	92.01747060274108	30.31409513179664	190.90392722973786	91.86769387815862	33.58663819142122	39.69878192337792	98.98504749186563	49.066036986756394
diagnostics	Mask-interpolated	Maximum	311.63553630832934	124.6861814703822	257.6903130376626	310.28196120056026	93.98706743008258	270.4829442713409	238.50258935835757	75.6277414434348
original	shape	Elongation	0.8049338750388835	0.9421230066029322	0.9078093087751513	0.7155303472804385	0.8928558591679767	0.8369441795373128	0.9040740824688301	0.5411961001461973
original	shape	Flatness	0.6444495412359735	0.832703281739573	0.8152495575617659	0.6528798867686144	0.8332654540492942	0.6102224851871006	0.7051748408155617	0.4142135623730953
original	shape	LeastAxisLength	16.60251189250188	8.990635863861362	3.732004146591191	6.265296533106932	5.09470511728242	9.55921823022786	3.786685307083628	1.2498388564151302
original	shape	MajorAxisLength	25.762314704515642	10.796926181291516	4.577744461159604	9.596399981191947	6.114144169213366	15.665136015590939	5.36985310296122	3.017377917938285
original	shape	Maximum2DDiameterColumn	26.92582403567252	12.649110640673518	5.830951894845301	11.180339887498949	7.615773105863909	18.027756377319946	6.082762530298219	2.23606797749979
original	shape	Maximum2DDiameterRow	29.410882339705484	12.529964086141668	5.0990195135927845	10.04987562112089	7.211102550927978	17.46424919657298	5.385164807134504	2.23606797749979
original	shape	Maximum2DDiameterSlice	26.40075756488817	12.649110640673518	5.0	9.055385138137417	7.280109889280518	16.492422502470642	6.708203932499369	2.23606797749979
original	shape	Maximum3DDiameter	30.033314835362415	13.038404810405298	5.830951894845301	11.224972160321824	7.681145747868608	18.466185312619388	6.708203932499369	3.3166247903554
original	shape	MeshVolume	6053.666666666667	700.0	45.25	283.75	112.33333333333333	1374.4583333333333	64.70833333333333	3.75
original	shape	MinorAxisLength	20.736959805076985	10.17203255598828	4.155719035034577	6.866515411184268	5.459049445279875	13.110844409909168	4.854745017052066	1.6329931618554525
original	shape	Sphericity	0.7556634806558877	0.8834058428625102	0.8571152998656238	0.8583961020113655	0.8593717638416275	0.8298544403674453	0.8734594701100241	0.8237130029508044
original	shape	SurfaceArea	2125.696998301653	431.57460706880124	71.645777390541	243.2691108522671	131.01131581492442	720.3937254518183	89.23766048257788	14.170843917394796
original	shape	SurfaceVolumeRatio	0.35114206238119916	0.6165351529554304	1.5833320970285303	0.857336073488166	1.1662728410824132	0.524129184552813	1.3790752424867156	3.778891711305279
original	shape	VoxelVolume	6080.0	712.0	50.0	293.0	120.0	1391.0	70.0	6.0
original	firstorder	10Percentile	164.69746206962995	57.3023409657702	201.11879995374818	201.98009516045033	55.40901055471405	68.75917505998336	135.33743362278264	53.50177015354703
original	firstorder	90Percentile	263.2248476152846	105.68796855268066	239.56068705849188	299.8378514041734	84.68881514632916	198.4640196427799	214.02769273970796	73.61914762090575
original	firstorder	Energy	1618202545.6857767	103863744.82050313	13631829.861302571	91267694.7747586	16471853.55601188	265828829.1159225	15796158.696376676	801948.0872086622
original	firstorder	Entropy	2.6547770046642483	1.675796020270651	1.5195563653739017	2.5780962596324914	1.2431641592676002	2.9359912606532905	2.319939693828789	1.251629167387822
original	firstorder	InterquartileRange	56.694508331380206	26.143844825457307	22.418498896008032	53.24168465406402	16.996035709761067	72.1530325592006	43.73453701371807	10.587497756486655
original	firstorder	Kurtosis	2.472022940780373	2.498254674903169	2.47525389173163	4.552227208716618	3.1418574997016475	2.351781298702142	2.5168928733025817	2.1441629106222164
original	firstorder	Maximum	311.63553630832934	124.6861814703822	257.6903130376626	310.28196120056026	93.98706743008258	270.4829442713409	238.50258935835757	75.6277414434348
original	firstorder	MeanAbsoluteDeviation	31.195605767708404	15.227087714598294	12.87631531143149	31.10428938431612	9.742063999869377	39.88834577545416	24.90317862284809	7.985046466829817
original	firstorder	Mean	214.5164753641808	81.48824665605483	221.9143570814419	256.6827734768712	70.29555947346127	134.48215387959877	174.06320750374977	65.47933985379174
original	firstorder	Median	215.1273230197436	82.033247475006	223.65484754034128	262.774698229508	71.5573988737818	136.03585073307872	172.29341595469197	69.31710178692246
original	firstorder	Minimum	92.01747060274108	30.31409513179664	190.90392722973786	91.86769387815862	33.58663819142122	39.69878192337792	98.98504749186563	49.066036986756394
original	firstorder	Range	219.61806570558826	94.37208633858555	66.78638580792472	218.41426732240166	60.40042923866135	230.784162347963	139.51754186649194	26.561704456678406
original	firstorder	RobustMeanAbsoluteDeviation	23.004196286173837	11.127054997923759	9.572100005609466	21.8794563953727	6.918641285776122	29.800595568384445	18.34402162292513	4.554030926401078
original	firstorder	RootMeanSquared	515.8989576339462	381.93722795272555	522.1461454670057	558.1163309039628	370.49351721737185	437.1570374874668	475.0362196172395	365.5926893891302
original	firstorder	Skewness	-0.02982191534605063	-0.1344935607364728	0.11698558988371659	-1.1442421616364093	-0.565975969701538	0.2033162095448469	0.0638709719781865	-0.7626374009108625
original	firstorder	TotalEnergy	1618202545.6857767	103863744.82050313	13631829.861302571	91267694.7747586	16471853.55601188	265828829.1159225	15796158.696376676	801948.0872086622
original	firstorder	Uniformity	0.17734266793628808	0.34644063249589696	0.39519999999999994	0.19826672413190605	0.4593055555555556	0.14338091076402115	0.22448979591836735	0.5
original	firstorder	Variance	1424.531066612562	342.76375950134116	242.0010983165563	1598.1285358002463	146.64493433531482	2331.533384963144	923.4852394949595	82.86667481361356
original	glcm	Autocorrelation	40.97132072491583	8.254666593439042	6.565464468620391	62.5532595500227	5.770630831895123	25.058763965858706	23.416247755666287	4.1875
original	glcm	JointAverage	6.276711327068508	2.84666780692525	2.550478344743712	7.823928289709248	2.3996799352553446	4.72888154013846	4.809175774081696	2.0625
original	glcm	ClusterProminence	141.93656316033184	5.7163667669159715	2.852424831312959	301.0536965839123	1.4489185418604187	422.2838744794251	38.11250743245965	0.15625
original	glcm	ClusterShade	-1.0737467579124562	-0.26055542312951313	-0.010523692819810544	-26.640506032360296	-0.23146690377443266	11.833782477669882	-1.1955397023802417	0.0
original	glcm	ClusterTendency	7.487210008928102	1.4950657376530192	1.0906148791149124	8.48044220181682	0.7178481621855053	13.466809149971114	3.748437378972973	0.25
original	glcm	Contrast	1.1948768269260701	0.8907447856782743	0.8513257007859707	3.126545468630041	0.6696761373409229	2.6967208820169684	2.6105607153663914	0.75
original	glcm	Correlation	0.7240237883433751	0.2545254055672987	0.1197063844480461	0.46386305677297524	0.03460711435321659	0.665910548321844	0.1807233942844384	-0.2916666666666663
original	glcm	DifferenceAverage	0.7815885463200917	0.6684420428201613	0.6569674758580306	1.2492211109299782	0.5938402390483828	1.2064959968230473	1.286006745676256	0.625
original	glcm	DifferenceEntropy	1.5431822609070331	1.3817753410873606	1.3054311764366855	2.055135681130006	1.1638350556196129	2.007656961075839	1.8607254380502645	0.6249999999999994
original	glcm	DifferenceVariance	0.5725004946078054	0.43784318012304513	0.40773999161538205	1.5324150581700002	0.3096881638324387	1.1999464499016974	0.9096836365442346	0.25
original	glcm	JointEnergy	0.05398802160166785	0.13148263530904772	0.17250547713474182	0.05257249523552957	0.20994694709546108	0.03215347685522449	0.057509828242007774	0.453125
original	glcm	JointEntropy	4.617805112653643	3.2274857120703704	2.854701583778181	4.840493590328577	2.4477546264195946	5.391016742778316	4.316386025595055	1.3124999999999991
original	glcm	Imc1	-0.21952196517678146	-0.0449291005140385	-0.1139961162936956	-0.1272459956026335	-0.033657851858654	-0.1678007152238443	-0.1367489654886326	-0.4088661532278495
original	glcm	Imc2	0.8141381274466849	0.34277080049989933	0.524393198559173	0.6842140663754647	0.23703311835631855	0.7731925934212348	0.6736002922438195	0.5874389786887754
original	glcm	Idm	0.6499593959101991	0.6880092528757307	0.6909520845637787	0.5363554886910925	0.7106634703050626	0.536390943750937	0.48691007051738056	0.7
original	glcm	Idmn	0.9885256760908384	0.9520068167731917	0.9535328641040783	0.9724928337291031	0.9365325046486404	0.9752445131661991	0.9526517702358615	0.9307692307692308
original	glcm	Id	0.6697474382552913	0.7009382672224992	0.7031970488467241	0.5782996642314454	0.7157191968578988	0.5805367483569265	0.5405905583476087	0.7083333333333333
original	glcm	Idn	0.9319530816410428	0.8735055493205213	0.8750037122445917	0.8986763581096802	0.8553317351525315	0.9005703327567604	0.8563414296813049	0.85
original	glcm	InverseVariance	0.49469505649665596	0.49178817875123637	0.49363084132845086	0.4599439099146684	0.5274838280424101	0.4470813915579767	0.46014493564286857	0.515625
original	glcm	MaximumProbability	0.11098722600631356	0.24028123616311156	0.2622333180728983	0.13930961054896251	0.2602451596327066	0.08251721611767386	0.09279297647207876	0.53125
original	glcm	SumEntropy	3.4786477176351296	2.3078146539499356	1.9915005228262446	3.332159026133888	1.743754471301778	3.7988590706973904	2.8193441699133435	0.6249999999999994
original	glcm	SumSquares	2.1705217089635434	0.5964526308328234	0.48548514497522066	2.9017469176117148	0.3468810748816071	4.04088250799702	1.589749523584841	0.25
original	glrlm	GrayLevelNonUniformity	681.8958621616304	148.9206183807982	14.270505547019678	42.814506665906876	38.610355809701495	152.82875082705667	13.44029317535502	2.4000000000000004
original	glrlm	GrayLevelNonUniformityNormalized	0.17224381020434015	0.3220764408756484	0.37204780203439153	0.1854694424555068	0.4522045193206757	0.14583656475135906	0.2227724359284699	0.45499999999999996
original	glrlm	GrayLevelVariance	2.530413532204387	0.7019453531386907	0.548436074306028	2.8445929274848143	0.3580485144794402	3.618393927770007	1.6182525896094466	0.38333333333333336
original	glrlm	HighGrayLevelRunEmphasis	37.67098816695509	8.123737110446298	6.269241919053281	60.85306078809154	5.573448973545755	29.473658734518818	21.306235319069916	4.383333333333334
original	glrlm	LongRunEmphasis	3.376783743304446	3.2982415680912385	2.0700602838332975	2.004929513062055	2.5431315192768746	2.306763831136574	1.5070937674090839	1.4500000000000002
original	glrlm	LongRunHighGrayLevelEmphasis	139.00703835506542	27.579336048687253	13.684259859768146	132.12918388293903	15.369949470525256	56.240935599103864	33.05654090496951	6.183333333333334
original	glrlm	LongRunLowGrayLevelEmphasis	0.1070225522932284	0.5462165642413354	0.4461316554947911	0.04571381385811968	0.5534279607008523	0.22944846526639245	0.10549366874554425	0.47962962962962963
original	glrlm	LowGrayLevelRunEmphasis	0.03772623109238757	0.2028896562588724	0.2645332405657101	0.0287895545791433	0.25808132801366074	0.07284691555880031	0.07800961614802866	0.36712962962962964
original	glrlm	RunEntropy	4.085687748588166	3.1214155704456457	2.455601835901778	3.4811423561770862	2.409233454241424	3.9095619742528878	2.8975072412562954	1.7543533630124764
original	glrlm	RunLengthNonUniformity	1991.9287464301306	227.75211952903095	23.28723118759655	153.40585621954773	47.14147695808131	659.0627371637885	45.1191591899659	4.05
original	glrlm	RunLengthNonUniformityNormalized	0.49927710770093675	0.48870899412930935	0.5998291280553877	0.6604762722826968	0.5437281478891385	0.6251967643267585	0.7416823657670532	0.76
original	glrlm	RunPercentage	0.6510627530364371	0.6495246326707	0.7661538461538461	0.7878708322394328	0.7121794871794871	0.7539678150749322	0.8626373626373626	0.875
original	glrlm	RunVariance	0.9697904360185632	0.8816256149196471	0.31526862805574807	0.3751252322407739	0.5044706122125218	0.5256168470657125	0.14487625972143095	0.12
original	glrlm	ShortRunEmphasis	0.7318080898310719	0.7232299581962357	0.7938185858986091	0.8381531141616299	0.7594126747932882	0.8178538382522678	0.8810662280563644	0.8875
original	glrlm	ShortRunHighGrayLevelEmphasis	26.48280996590818	5.7411960321769495	4.819523147381928	49.71853546259423	4.085962309476372	25.03710723909068	18.574376576588538	3.933333333333333
original	glrlm	ShortRunLowGrayLevelEmphasis	0.029493878072276887	0.1606033682828005	0.23005868754546138	0.025826467109701618	0.20996421844706	0.05507787439070785	0.0715689106949673	0.33900462962962963
original	glszm	GrayLevelNonUniformity	18.80392156862745	8.466666666666667	2.7142857142857144	3.380952380952381	2.2	7.327868852459017	2.272727272727273	1.0
original	glszm	GrayLevelNonUniformityNormalized	0.1843521722414456	0.5644444444444444	0.3877551020408163	0.16099773242630386	0.44	0.12012899758129535	0.2066115702479339	0.3333333333333333
original	glszm	GrayLevelVariance	5.652153018069972	0.7822222222222222	1.2653061224489797	4.086167800453515	0.64	7.076592313894114	2.743801652892562	0.6666666666666666
original	glszm	HighGrayLevelZoneEmphasis	25.029411764705884	2.933333333333333	4.714285714285714	37.285714285714285	3.2	33.57377049180328	16.636363636363637	4.666666666666667
original	glszm	LargeAreaEmphasis	62519.37254901961	11636.666666666666	139.42857142857142	748.2380952380952	1316.8	4143.459016393443	86.0	6.0
original	glszm	LargeAreaHighGrayLevelEmphasis	2422188.431372549	93762.2	908.5714285714286	52505.0	7464.8	101339.85245901639	1854.4545454545455	24.666666666666668
original	glszm	LargeAreaLowGrayLevelEmphasis	1898.3339239785419	1762.3296296296296	25.575396825396826	11.555819903358168	270.68888888888887	313.5517163240524	4.733750257678829	1.7037037037037035
original	glszm	LowGrayLevelZoneEmphasis	0.11190431265098634	0.7782407407407407	0.6319444444444444	0.08248731988386185	0.6722222222222223	0.1624893100834748	0.17342094413522985	0.4537037037037037
original	glszm	SizeZoneNonUniformity	33.88235294117647	5.8	3.0	4.0476190476190474	1.4	19.852459016393443	3.0	1.6666666666666667
original	glszm	SizeZoneNonUniformityNormalized	0.33217993079584773	0.38666666666666666	0.42857142857142855	0.1927437641723356	0.28	0.3254501478097286	0.2727272727272727	0.5555555555555556
original	glszm	SmallAreaEmphasis	0.5959003883718044	0.6196795291001975	0.6077331759149941	0.4251131450747525	0.2445808968320183	0.5885482090315617	0.4685887165966367	0.6875
